Entity,Code,Year,European Union and United Kingdom,China,United States,World
Legal technology,,2020,75879700,4530675,304786904,385197280
Legal technology,,2021,116506680,39960000,89722776,252689456
Legal technology,,2022,56314360,43702571,661033921,768606509
Marketing and digital ads,,2017,251016930,132839692,540684001,1018117875
Marketing and digital ads,,2018,74443572,201967687,548769395,963671743
Marketing and digital ads,,2019,483905459,90769962,1457719559,2161257690
Marketing and digital ads,,2020,85309959,290933475,505555632,957675085
Marketing and digital ads,,2021,182932456,194996304,1069354879,1514237568
Marketing and digital ads,,2022,701624001,811250613,1055013635,2824636407
Medical and healthcare,,2017,339881508,373718565,1787252592,2643466659
Medical and healthcare,,2018,297563920,502976635,4752017398,5883191498
Medical and healthcare,,2019,1142473179,369221918,3572848788,5497100065
Medical and healthcare,,2020,455859599,548736964,5959282699,7524641500
Medical and healthcare,,2021,1741353900,400878916,5736596464,8615669754
Medical and healthcare,,2022,707457022,235405533,3883317553,5605698104
Music and video content,,2017,73139026,895870606,585864417,1691121432
Music and video content,,2018,27152868,2034076854,666737849,2974951949
Music and video content,,2019,690401753,1162147717,2453199015,4455514840
Music and video content,,2020,142003990,254878601,815119373,1247029083
Music and video content,,2021,330821153,603025227,964670246,2106094103
Music and video content,,2022,408435253,28425189,1015177331,1588582322
"Natural Language Processing, customer support",,2017,44535026,378848297,429688826,1064713214
"Natural Language Processing, customer support",,2018,86070607,2209821848,655875394,3027138202
"Natural Language Processing, customer support",,2019,158195501,176383746,473966675,1012226187
"Natural Language Processing, customer support",,2020,86578833,215407191,408187274,802107008
"Natural Language Processing, customer support",,2021,69318413,24660000,1428715843,1604202423
"Natural Language Processing, customer support",,2022,33783127,122824695,635764264,931708894
Retail,,2017,254675526,2426346,827400007,1304954256
Retail,,2018,207174965,841717860,1330376349,2766266344
Retail,,2019,693727948,177780287,1194640069,2344809160
Retail,,2020,142102488,29802136,2139310867,2514590725
Retail,,2021,55454106,46091554,3276723875,4335869189
Retail,,2022,1914569974,13888529,1410866709,3888940189
Sales enablement,,2017,133648989,1848675835,762046941,2806352754
Sales enablement,,2018,107607341,1863744207,1212903127,3381621927
Sales enablement,,2019,35216245,2160764156,1163191612,3664821906
Sales enablement,,2020,93847522,859738029,1504536420,2491240999
Sales enablement,,2021,30339737,1088548323,2647310868,3917398928
Sales enablement,,2022,147968093,1557779673,1039963332,2941835680
Semiconductors,,2017,113199044,60263475,126773916,300236435
Semiconductors,,2018,73652259,131522869,337907765,555802770
Semiconductors,,2019,588479284,73956988,241891093,961561639
Semiconductors,,2020,52348929,207361436,576267636,927619870
Semiconductors,,2021,85704897,204339955,156558789,632603641
Semiconductors,,2022,11481184,946096889,536568891,1532108942
Total,,2013,612766048,717195269,4211473455,6011920914
Total,,2014,1369480910,771391003,7963110307,10940602458
Total,,2015,903747229,2385247392,10632656532,15258725683
Total,,2016,1311274211,5102954592,11464247704,19340732121
Total,,2017,2687729049,7314151975,15548790772,28434536002
Total,,2018,2955166939,15069705393,22716597215,46508641939
Total,,2019,6202067697,14892596238,30795184157,58389972850
Total,,2020,5599432467,17094749150,35531472847,64505628706
Total,,2021,12500782453,22848295305,73395940859,125356874235
Total,,2022,10217823819,12412402667,43848726664,85055265067
Venture capital,,2017,9424792,115426266,15476426,160103509
Venture capital,,2018,0,107910146,109690663,217600809
Venture capital,,2019,26497349,0,28617137,106903067
Venture capital,,2020,0,124590452,4502008,179347432
Venture capital,,2021,0,0,60011724,225784599
Venture capital,,2022,14814431,0,0,14814431
