DATE,PALLFNFINDEXQ
2003-01-01,67.0552199130888
2003-04-01,63.1125094945253
2003-07-01,64.076432809127
2003-10-01,68.4692628229233
2004-01-01,73.8521976600864
2004-04-01,78.2058528681039
2004-07-01,80.4292155538201
2004-10-01,84.317948456489
2005-01-01,89.1664182009529
2005-04-01,93.8113303480627
2005-07-01,102.997936668922
2005-10-01,104.726876867679
2006-01-01,106.953510147284
2006-04-01,117.494178117624
2006-07-01,118.665345268401
2006-10-01,113.189377556625
2007-01-01,115.806348011573
2007-04-01,126.755152373369
2007-07-01,128.980818998859
2007-10-01,144.938211533519
2008-01-01,162.32626062148
2008-04-01,189.085436863838
2008-07-01,181.816046044325
2008-10-01,117.017438831859
2009-01-01,102.098633808881
2009-04-01,111.734830032743
2009-07-01,119.420247889686
2009-10-01,130.733628716848
2010-01-01,139.305742342565
2010-04-01,142.478203920281
2010-07-01,141.306907811759
2010-10-01,158.478034099921
2011-01-01,178.648789815426
2011-04-01,188.695651684748
2011-07-01,183.915891369238
2011-10-01,175.032280079509
2012-01-01,181.335364251994
2012-04-01,171.818546404597
2012-07-01,170.295167743506
2012-10-01,170.093087845768
2013-01-01,173.578270433257
2013-04-01,166.207493850238
2013-07-01,167.513906889779
2013-10-01,165.379327133913
2014-01-01,167.835527996996
2014-04-01,168.842540957711
2014-07-01,159.40642917705
2014-10-01,136.937161252747
2015-01-01,114.807295643759
2015-04-01,116.147461606832
2015-07-01,104.521341860727
2015-10-01,96.2076426359993
2016-01-01,88.6283101878482
2016-04-01,100.425096396324
2016-07-01,103.043383346096
2016-10-01,107.903210069731
2017-01-01,114.292853101521
2017-04-01,108.571901913979
2017-07-01,111.122045158437
2017-10-01,119.351749912583
2018-01-01,126.975774529728
2018-04-01,130.855263221784
2018-07-01,129.687366345607
2018-10-01,123.390816775956
2019-01-01,118.375828988296
2019-04-01,119.095603673083
2019-07-01,114.495663428309
2019-10-01,116.126108252921
2020-01-01,107.37326913227
2020-04-01,92.219554447939
2020-07-01,106.631884727765
2020-10-01,117.243548302888
2021-01-01,138.64663248802
2021-04-01,153.732954581083
2021-07-01,166.525646648667
2021-10-01,187.093663900572
2022-01-01,211.872594329841
2022-04-01,228.73523262177
2022-07-01,230.461208164273
2022-10-01,192.598951685629
2023-01-01,175.16594039245
2023-04-01,160.655945555478
2023-07-01,162.595898776549
2023-10-01,164.195320971296
2024-01-01,160.340885111379
